Grade,Teacher ID,Studio ID,Class Completion
4,E,18445271 (n=23),75.0
5,C,18405470 (n=31),41.12903225806452
5,E,18611553 (n=31),70.96774193548387
5,H,19411824 (n=24),39.583333333333336
6,D,18404603 (n=29),51.724137931034484
6,F,18634925 (n=22),50.0
6,F,19399885 (n=24),68.75
6,F,19411715 (n=30),54.166666666666664
6,F,19426686 (n=22),75.0
6,H,19417322 (n=34),69.11764705882354
7,A,19850319 (n=21),41.666666666666664
7,B,18598010 (n=29),17.24137931034483
7,B,18604396 (n=29),16.379310344827587
7,D,18429044 (n=28),64.28571428571429
7,I,19458318 (n=22),29.545454545454547
8,D,18268610 (n=25),66.0
8,I,19448013 (n=19),27.63157894736842
