ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
05JCL08,0,1,0,0,0,1,0,0,0,0,0
07JCL08,0,1,1,1,1,1,1,1,1,1,1
09JCL08,0,1,0,0,0,1,0,0,1,1,0
11JCL08,0,1,0,0,0,0,0,0,0,0,0
12JCL08,0,1,1,1,1,1,1,1,1,1,0
22JCL08,0,1,0,0,0,1,1,1,1,1,1
23JCL08,0,1,1,1,1,1,1,1,1,1,1
24JCL08,0,1,0,0,0,0,0,0,0,0,0
25JCL08,0,1,1,1,1,1,1,1,1,1,0
26JCL08,0,1,1,1,1,1,1,1,1,1,0
27JCL08,0,1,1,1,1,1,1,1,1,1,1
28JCL08,0,1,1,1,1,1,1,1,1,1,1
29JCL08,0,1,0,0,0,0,0,0,0,0,0
30JCL08,0,1,1,1,1,1,1,1,1,1,1
32JCL08,0,1,1,1,1,1,1,1,1,1,1
