ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
282720046,0,1,1,1,1,0,1,0,1,0
282786715,0,1,1,1,1,1,1,1,1,1
282786768,0,1,1,1,1,1,1,1,1,1
282786909,0,1,1,1,1,1,1,1,1,1
282786933,0,1,1,1,1,0,1,0,0,0
282786934,0,1,1,1,1,1,1,1,1,1
282786936,0,1,1,1,0,1,1,0,1,1
282786995,0,1,1,1,1,1,1,1,1,1
282787055,0,1,1,1,0,1,1,0,1,1
282787137,0,1,1,1,0,1,1,0,1,1
282787138,0,1,1,1,0,1,1,0,1,1
282787143,0,1,1,1,0,1,1,0,1,1
282787151,0,1,1,1,0,1,1,0,1,1
282787153,0,1,1,1,0,1,1,0,1,0
282787166,0,1,1,1,1,1,1,1,1,1
282787245,0,1,1,1,0,1,1,0,1,1
282787281,0,1,1,1,0,1,1,0,1,1
282787441,0,1,1,1,1,1,1,1,1,1
282787486,0,1,1,1,0,1,1,0,1,1
282788090,0,1,1,1,0,1,1,0,1,1
282788997,0,1,1,1,0,1,1,0,1,1
282791251,0,1,1,1,0,1,1,0,1,1
282795261,0,1,1,1,0,1,1,0,1,1
282797642,0,1,1,1,0,1,1,0,1,1
